//Npcs Lorencia
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
0
12	1	30	194	222	-1	//Larva
12	1	30	194	221	-1	//Larva
12	1	30	79	154	-1	//Larva
12	1	30	78	189	-1	//Larva
12	1	30	100	198	-1	//Larva
12	1	30	95	192	-1	//Larva
12	1	30	90	187	-1	//Larva
12	1	30	73	241	-1	//Larva
14	1	30	97	187	-1	//Skeleton Warrior
14	1	30	120	243	-1	//Skeleton Warrior
14	1	30	105	208	-1	//Skeleton Warrior
14	1	30	85	208	-1	//Skeleton Warrior
14	1	30	84	220	-1	//Skeleton Warrior
14	1	30	85	229	-1	//Skeleton Warrior
14	1	30	68	227	-1	//Skeleton Warrior
14	1	30	61	238	-1	//Skeleton Warrior
14	1	30	73	245	-1	//Skeleton Warrior
14	1	30	3	232	-1	//Skeleton Warrior
14	1	30	152	247	-1	//Skeleton Warrior
14	1	30	156	247	-1	//Skeleton Warrior
14	1	30	3	219	-1	//Skeleton Warrior
14	1	30	94	242	-1	//Skeleton Warrior
14	1	30	108	195	-1	//Skeleton Warrior
14	1	30	120	232	-1	//Skeleton Warrior
14	1	30	107	230	-1	//Skeleton Warrior
14	1	30	84	244	-1	//Skeleton Warrior
14	1	30	94	208	-1	//Skeleton Warrior
14	1	30	62	181	-1	//Skeleton Warrior
14	1	30	31	247	-1	//Skeleton Warrior
14	1	30	3	246	-1	//Skeleton Warrior
14	1	30	29	246	-1	//Skeleton Warrior
14	1	30	83	198	-1	//Skeleton Warrior
14	1	30	33	209	-1	//Skeleton Warrior
14	1	30	45	201	-1	//Skeleton Warrior
14	1	30	7	219	-1	//Skeleton Warrior
14	1	30	99	49	-1	//Skeleton Warrior
14	1	30	17	211	-1	//Skeleton Warrior
11	1	30	45	188	-1	//Ghost
11	1	30	53	188	-1	//Ghost
11	1	30	52	166	-1	//Ghost
11	1	30	62	154	-1	//Ghost
11	1	30	70	154	-1	//Ghost
11	1	30	77	152	-1	//Ghost
11	1	30	110	145	-1	//Ghost
11	1	30	119	146	-1	//Ghost
11	1	30	240	247	-1	//Ghost
11	1	30	242	247	-1	//Ghost
11	1	30	241	226	-1	//Ghost
11	1	30	246	220	-1	//Ghost
11	1	30	243	201	-1	//Ghost
11	1	30	244	192	-1	//Ghost
11	1	30	213	248	-1	//Ghost
11	1	30	247	7	-1	//Ghost
11	1	30	199	116	-1	//Ghost
11	1	30	136	149	-1	//Ghost
11	1	30	133	212	-1	//Ghost
11	1	30	135	212	-1	//Ghost
11	1	30	69	167	-1	//Ghost
11	1	30	240	7	-1	//Ghost
11	1	30	241	9	-1	//Ghost
11	1	30	148	149	-1	//Ghost
11	1	30	120	159	-1	//Ghost
11	1	30	111	188	-1	//Ghost
11	1	30	125	195	-1	//Ghost
11	1	30	135	196	-1	//Ghost
11	1	30	144	187	-1	//Ghost
11	1	30	227	248	-1	//Ghost
11	1	30	181	246	-1	//Ghost
11	1	30	151	212	-1	//Ghost
11	1	30	168	220	-1	//Ghost
11	1	30	46	146	-1	//Ghost
11	1	30	49	182	-1	//Ghost
11	1	30	44	162	-1	//Ghost
11	1	30	45	180	-1	//Ghost
11	1	30	45	183	-1	//Ghost
11	1	30	164	232	-1	//Ghost
11	1	30	92	157	-1	//Ghost
11	1	30	102	174	-1	//Ghost
11	1	30	113	166	-1	//Ghost
11	1	30	222	223	-1	//Ghost
11	1	30	163	184	-1	//Ghost
11	1	30	164	186	-1	//Ghost
11	1	30	150	193	-1	//Ghost
11	1	30	142	218	-1	//Ghost
11	1	30	86	150	-1	//Ghost
11	1	30	98	145	-1	//Ghost
11	1	30	125	218	-1	//Ghost
11	1	30	197	245	-1	//Ghost
11	1	30	183	128	-1	//Ghost
11	1	30	247	211	-1	//Ghost
11	1	30	231	186	-1	//Ghost
11	1	30	223	187	-1	//Ghost
11	1	30	213	186	-1	//Ghost
11	1	30	209	175	-1	//Ghost
17	1	30	52	222	-1	//Cyclops
17	1	30	50	235	-1	//Cyclops
17	1	30	38	234	-1	//Cyclops
17	1	30	143	232	-1	//Cyclops
17	1	30	173	200	-1	//Cyclops
17	1	30	50	211	-1	//Cyclops
17	1	30	16	227	-1	//Cyclops
17	1	30	13	235	-1	//Cyclops
17	1	30	165	171	-1	//Cyclops
17	1	30	208	162	-1	//Cyclops
17	1	30	220	161	-1	//Cyclops
17	1	30	176	188	-1	//Cyclops
17	1	30	168	150	-1	//Cyclops
17	1	30	156	171	-1	//Cyclops
17	1	30	176	161	-1	//Cyclops
17	1	30	185	161	-1	//Cyclops
17	1	30	230	173	-1	//Cyclops
17	1	30	236	167	-1	//Cyclops
17	1	30	18	220	-1	//Cyclops
17	1	30	241	173	-1	//Cyclops
17	1	30	181	171	-1	//Cyclops
17	1	30	198	168	-1	//Cyclops
17	1	30	190	172	-1	//Cyclops
17	1	30	128	232	-1	//Cyclops
17	1	30	27	236	-1	//Cyclops
17	1	30	220	172	-1	//Cyclops
17	1	30	247	168	-1	//Cyclops
17	1	30	25	220	-1	//Cyclops
17	1	30	235	108	-1	//Cyclops
17	1	30	228	105	-1	//Cyclops
17	1	30	214	116	-1	//Cyclops
15	1	30	175	127	-1	//Skeleton Archer
15	1	30	175	118	-1	//Skeleton Archer
15	1	30	183	123	-1	//Skeleton Archer
15	1	30	193	148	-1	//Skeleton Archer
15	1	30	188	145	-1	//Skeleton Archer
15	1	30	206	152	-1	//Skeleton Archer
15	1	30	212	151	-1	//Skeleton Archer
15	1	30	114	110	-1	//Skeleton Archer
15	1	30	68	110	-1	//Skeleton Archer
15	1	30	156	125	-1	//Skeleton Archer
15	1	30	141	110	-1	//Skeleton Archer
15	1	30	98	54	-1	//Skeleton Archer
15	1	30	76	111	-1	//Skeleton Archer
15	1	30	247	176	-1	//Skeleton Archer
15	1	30	61	169	-1	//Skeleton Archer
15	1	30	217	229	-1	//Skeleton Archer
15	1	30	68	125	-1	//Skeleton Archer
15	1	30	80	97	-1	//Skeleton Archer
5	1	30	70	76	-1	//Hell Hound
5	1	30	87	114	-1	//Hell Hound
5	1	30	65	127	-1	//Hell Hound
5	1	30	163	114	-1	//Hell Hound
5	1	30	145	118	-1	//Hell Hound
5	1	30	123	120	-1	//Hell Hound
5	1	30	120	75	-1	//Hell Hound
5	1	30	81	58	-1	//Hell Hound
5	1	30	71	53	-1	//Hell Hound
5	1	30	163	125	-1	//Hell Hound
5	1	30	69	88	-1	//Hell Hound
5	1	30	170	126	-1	//Hell Hound
5	1	30	98	111	-1	//Hell Hound
5	1	30	138	86	-1	//Hell Hound
13	1	30	168	96	-1	//Hell Spider
13	1	30	112	93	-1	//Hell Spider
13	1	30	104	65	-1	//Hell Spider
13	1	30	183	27	-1	//Hell Spider
13	1	30	114	20	-1	//Hell Spider
13	1	30	247	87	-1	//Hell Spider
13	1	30	149	94	-1	//Hell Spider
13	1	30	126	94	-1	//Hell Spider
13	1	30	196	100	-1	//Hell Spider
16	1	30	240	77	-1	//Chief Skeleton Warrior
16	1	30	247	77	-1	//Chief Skeleton Warrior
16	1	30	248	20	-1	//Chief Skeleton Warrior
16	1	30	86	105	-1	//Chief Skeleton Warrior
16	1	30	88	104	-1	//Chief Skeleton Warrior
16	1	30	108	9	-1	//Chief Skeleton Warrior
16	1	30	29	80	-1	//Chief Skeleton Warrior
16	1	30	124	20	-1	//Chief Skeleton Warrior
16	1	30	90	6	-1	//Chief Skeleton Warrior
16	1	30	159	41	-1	//Chief Skeleton Warrior
16	1	30	115	8	-1	//Chief Skeleton Warrior
16	1	30	212	83	-1	//Chief Skeleton Warrior
16	1	30	211	90	-1	//Chief Skeleton Warrior
16	1	30	226	58	-1	//Chief Skeleton Warrior
16	1	30	239	56	-1	//Chief Skeleton Warrior
16	1	30	235	23	-1	//Chief Skeleton Warrior
16	1	30	244	9	-1	//Chief Skeleton Warrior
16	1	30	229	11	-1	//Chief Skeleton Warrior
16	1	30	155	32	-1	//Chief Skeleton Warrior
16	1	30	137	33	-1	//Chief Skeleton Warrior
16	1	30	122	29	-1	//Chief Skeleton Warrior
16	1	30	48	11	-1	//Chief Skeleton Warrior
8	1	30	39	112	-1	//Poison Bull Fighter
8	1	30	26	111	-1	//Poison Bull Fighter
8	1	30	15	113	-1	//Poison Bull Fighter
8	1	30	12	97	-1	//Poison Bull Fighter
8	1	30	205	24	-1	//Poison Bull Fighter
8	1	30	44	56	-1	//Poison Bull Fighter
10	1	30	41	88	-1	//Dark Knight
10	1	30	19	120	-1	//Dark Knight
10	1	30	14	107	-1	//Dark Knight
10	1	30	22	65	-1	//Dark Knight
10	1	30	39	77	-1	//Dark Knight
10	1	30	29	66	-1	//Dark Knight
10	1	30	37	98	-1	//Dark Knight
9	1	30	30	105	-1	//Thunder Lich
9	1	30	27	53	-1	//Thunder Lich
9	1	30	10	68	-1	//Thunder Lich
9	1	30	33	90	-1	//Thunder Lich
9	1	30	12	121	-1	//Thunder Lich
9	1	30	38	23	-1	//Thunder Lich
9	1	30	160	10	-1	//Thunder Lich
9	1	30	194	18	-1	//Thunder Lich
9	1	30	213	12	-1	//Thunder Lich
9	1	30	28	18	-1	//Thunder Lich
9	1	30	22	4	-1	//Thunder Lich
9	1	30	18	29	-1	//Thunder Lich
9	1	30	18	23	-1	//Thunder Lich
9	1	30	34	4	-1	//Thunder Lich
9	1	30	22	90	-1	//Thunder Lich
9	1	30	33	78	-1	//Thunder Lich
9	1	30	42	117	-1	//Thunder Lich
9	1	30	118	11	-1	//Thunder Lich
9	1	30	221	14	-1	//Thunder Lich
9	1	30	243	16	-1	//Thunder Lich
9	1	30	233	66	-1	//Thunder Lich
18	1	30	43	111	-1	//Gorgon
18	1	30	8	123	-1	//Gorgon
18	1	30	7	56	-1	//Gorgon
18	1	30	26	67	-1	//Gorgon
end

//Npcs Devias
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
0
231	2	0	8	77	3	//Thompson Kenel
379	2	0	32	31	3	//Natasha the Firecracker Merchant
235	2	0	183	32	3	//Sebina the Priest
240	2	0	218	63	2	//Safety Guardian
233	2	0	209	30	1	//Messenger of Archangel
233	2	0	219	9	3	//Messenger of Archangel
241	2	0	215	45	1	//Royal Guard Captain Lorence
244	2	0	226	25	3	//Liam the Barmaid
245	2	0	225	41	3	//Wizard Izabel
246	2	0	186	47	3	//Weapons Merchant Zienna
247	2	30	169	39	7	//Crossbow Guard, East Gate
247	2	30	169	45	7	//Crossbow Guard, East Gate
247	2	30	219	79	5	//Crossbow Guard, West Gate
247	2	30	224	79	5	//Crossbow Guard, West Gate
257	2	0	172	44	1	//Shadow Phantom Soldier
257	2	0	219	76	3	//Shadow Phantom Soldier
371	2	0	212	63	2	//Leo the Helper
522	2	0	229	221	1	//Jerrint the Assistant
568	2	0	204	61	1	//Rogue Trader Gyro
end

//Monsters Devias
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
2
20	2	30	203	244	-1	//Elite Yeti
20	2	30	194	241	-1	//Elite Yeti
20	2	30	203	232	-1	//Elite Yeti
20	2	30	209	224	-1	//Elite Yeti
20	2	30	186	224	-1	//Elite Yeti
20	2	30	200	171	-1	//Elite Yeti
20	2	30	207	158	-1	//Elite Yeti
20	2	30	221	177	-1	//Elite Yeti
20	2	30	213	193	-1	//Elite Yeti
20	2	30	196	218	-1	//Elite Yeti
20	2	30	230	200	-1	//Elite Yeti
20	2	30	221	160	-1	//Elite Yeti
20	2	30	205	149	-1	//Elite Yeti
20	2	30	184	166	-1	//Elite Yeti
20	2	30	212	170	-1	//Elite Yeti
20	2	30	203	201	-1	//Elite Yeti
20	2	30	190	146	-1	//Elite Yeti
20	2	30	189	160	-1	//Elite Yeti
20	2	30	207	183	-1	//Elite Yeti
20	2	30	218	201	-1	//Elite Yeti
20	2	30	240	207	-1	//Elite Yeti
20	2	30	238	184	-1	//Elite Yeti
20	2	30	227	167	-1	//Elite Yeti
20	2	30	202	209	-1	//Elite Yeti
20	2	30	113	105	-1	//Elite Yeti
20	2	30	96	103	-1	//Elite Yeti
20	2	30	102	117	-1	//Elite Yeti
20	2	30	241	198	-1	//Elite Yeti
20	2	30	228	184	-1	//Elite Yeti
20	2	30	193	231	-1	//Elite Yeti
20	2	30	214	152	-1	//Elite Yeti
20	2	30	197	183	-1	//Elite Yeti
25	2	30	74	239	-1	//Ice Queen
25	2	30	70	212	-1	//Ice Queen
25	2	30	45	189	-1	//Ice Queen
25	2	30	113	230	-1	//Ice Queen
25	2	30	94	203	-1	//Ice Queen
25	2	30	63	160	-1	//Ice Queen
25	2	30	116	210	-1	//Ice Queen
25	2	30	51	227	-1	//Ice Queen
24	2	30	162	11	-1	//Worm
24	2	30	244	80	-1	//Worm
24	2	30	170	6	-1	//Worm
24	2	30	161	58	-1	//Worm
24	2	30	180	78	-1	//Worm
24	2	30	238	88	-1	//Worm
24	2	30	229	83	-1	//Worm
end

//Npcs Noria
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
0
237	3	0	171	104	3	//Charon
238	3	0	180	103	1	//Chaos Goblin
240	3	0	172	96	3	//Safety Guardian
242	3	0	173	125	1	//Elf Lala
243	3	0	195	124	2	//Eo the Craftsman
257	3	0	167	118	1	//Shadow Phantom Soldier
257	3	0	166	85	2	//Shadow Phantom Soldier
257	3	0	200	128	2	//Shadow Phantom Soldier
249	3	30	171	120	1	//Guard
450	3	0	179	126	1	//Governor Blossom
451	3	0	179	129	3	//Blossoms Tree
544	3	0	166	99	3	//Gens Vanert Steward
end

//Monsters Losttower
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
2
36	4	30	193	239	-1	//Shadow
36	4	30	191	131	-1	//Shadow
36	4	30	191	118	-1	//Shadow
36	4	30	164	29	-1	//Shadow
36	4	30	164	37	-1	//Shadow
36	4	30	164	48	-1	//Shadow
36	4	30	164	63	-1	//Shadow
36	4	30	164	74	-1	//Shadow
36	4	30	164	98	-1	//Shadow
36	4	30	164	112	-1	//Shadow
36	4	30	164	126	-1	//Shadow
36	4	30	175	127	-1	//Shadow
36	4	30	184	128	-1	//Shadow
36	4	30	199	134	-1	//Shadow
36	4	30	206	136	-1	//Shadow
36	4	30	227	136	-1	//Shadow
36	4	30	242	135	-1	//Shadow
36	4	30	207	127	-1	//Shadow
36	4	30	229	127	-1	//Shadow
36	4	30	235	56	-1	//Shadow
36	4	30	235	38	-1	//Shadow
36	4	30	236	26	-1	//Shadow
36	4	30	235	15	-1	//Shadow
36	4	30	226	14	-1	//Shadow
36	4	30	211	15	-1	//Shadow
36	4	30	210	101	-1	//Shadow
36	4	30	210	114	-1	//Shadow
36	4	30	244	8	-1	//Shadow
36	4	30	195	99	-1	//Shadow
36	4	30	226	118	-1	//Shadow
36	4	30	235	110	-1	//Shadow
36	4	30	235	87	-1	//Shadow
36	4	30	199	124	-1	//Shadow
36	4	30	193	108	-1	//Shadow
36	4	30	209	94	-1	//Shadow
36	4	30	235	73	-1	//Shadow
36	4	30	196	89	-1	//Shadow
36	4	30	219	94	-1	//Shadow
36	4	30	190	29	-1	//Shadow
36	4	30	205	62	-1	//Shadow
36	4	30	164	16	-1	//Shadow
36	4	30	164	87	-1	//Shadow
36	4	30	200	104	-1	//Shadow
36	4	30	205	87	-1	//Shadow
36	4	30	219	68	-1	//Shadow
36	4	30	211	64	-1	//Shadow
36	4	30	209	52	-1	//Shadow
36	4	30	210	41	-1	//Shadow
36	4	30	210	32	-1	//Shadow
36	4	30	194	23	-1	//Shadow
36	4	30	204	15	-1	//Shadow
36	4	30	236	44	-1	//Shadow
36	4	30	235	98	-1	//Shadow
36	4	30	222	109	-1	//Shadow
36	4	30	218	87	-1	//Shadow
36	4	30	228	91	-1	//Shadow
36	4	30	244	15	-1	//Shadow
36	4	30	228	7	-1	//Shadow
36	4	30	202	25	-1	//Shadow
36	4	30	195	40	-1	//Shadow
36	4	30	190	59	-1	//Shadow
36	4	30	197	64	-1	//Shadow
36	4	30	244	72	-1	//Shadow
36	4	30	244	100	-1	//Shadow
36	4	30	245	117	-1	//Shadow
36	4	30	219	117	-1	//Shadow
36	4	30	209	107	-1	//Shadow
36	4	30	201	113	-1	//Shadow
36	4	30	212	87	-1	//Shadow
39	4	30	243	125	-1	//Poison Shadow
39	4	30	245	109	-1	//Poison Shadow
39	4	30	219	6	-1	//Poison Shadow
39	4	30	244	53	-1	//Poison Shadow
39	4	30	239	7	-1	//Poison Shadow
39	4	30	244	25	-1	//Poison Shadow
39	4	30	243	40	-1	//Poison Shadow
39	4	30	243	65	-1	//Poison Shadow
39	4	30	244	82	-1	//Poison Shadow
39	4	30	244	92	-1	//Poison Shadow
39	4	30	210	23	-1	//Poison Shadow
39	4	30	226	22	-1	//Poison Shadow
39	4	30	227	33	-1	//Poison Shadow
39	4	30	227	54	-1	//Poison Shadow
39	4	30	228	67	-1	//Poison Shadow
39	4	30	228	81	-1	//Poison Shadow
39	4	30	228	104	-1	//Poison Shadow
39	4	30	191	16	-1	//Poison Shadow
39	4	30	220	79	-1	//Poison Shadow
39	4	30	219	60	-1	//Poison Shadow
39	4	30	219	45	-1	//Poison Shadow
39	4	30	219	34	-1	//Poison Shadow
39	4	30	202	38	-1	//Poison Shadow
39	4	30	208	166	-1	//Poison Shadow
39	4	30	196	166	-1	//Poison Shadow
39	4	30	188	165	-1	//Poison Shadow
39	4	30	179	165	-1	//Poison Shadow
39	4	30	165	183	-1	//Poison Shadow
39	4	30	167	211	-1	//Poison Shadow
39	4	30	165	241	-1	//Poison Shadow
39	4	30	184	246	-1	//Poison Shadow
39	4	30	200	245	-1	//Poison Shadow
39	4	30	214	245	-1	//Poison Shadow
39	4	30	228	245	-1	//Poison Shadow
39	4	30	245	246	-1	//Poison Shadow
39	4	30	198	184	-1	//Poison Shadow
39	4	30	217	196	-1	//Poison Shadow
39	4	30	227	212	-1	//Poison Shadow
39	4	30	217	217	-1	//Poison Shadow
39	4	30	201	216	-1	//Poison Shadow
39	4	30	191	238	-1	//Poison Shadow
39	4	30	193	217	-1	//Poison Shadow
39	4	30	178	224	-1	//Poison Shadow
39	4	30	178	210	-1	//Poison Shadow
39	4	30	177	195	-1	//Poison Shadow
39	4	30	226	166	-1	//Poison Shadow
39	4	30	239	167	-1	//Poison Shadow
39	4	30	227	175	-1	//Poison Shadow
39	4	30	239	174	-1	//Poison Shadow
39	4	30	245	179	-1	//Poison Shadow
39	4	30	245	189	-1	//Poison Shadow
39	4	30	245	200	-1	//Poison Shadow
39	4	30	246	212	-1	//Poison Shadow
39	4	30	245	224	-1	//Poison Shadow
39	4	30	237	226	-1	//Poison Shadow
39	4	30	236	220	-1	//Poison Shadow
39	4	30	238	208	-1	//Poison Shadow
39	4	30	237	201	-1	//Poison Shadow
39	4	30	224	185	-1	//Poison Shadow
39	4	30	216	183	-1	//Poison Shadow
39	4	30	207	178	-1	//Poison Shadow
39	4	30	196	176	-1	//Poison Shadow
39	4	30	187	192	-1	//Poison Shadow
39	4	30	185	201	-1	//Poison Shadow
39	4	30	187	209	-1	//Poison Shadow
39	4	30	185	220	-1	//Poison Shadow
39	4	30	175	217	-1	//Poison Shadow
39	4	30	176	245	-1	//Poison Shadow
39	4	30	206	244	-1	//Poison Shadow
39	4	30	215	209	-1	//Poison Shadow
39	4	30	184	173	-1	//Poison Shadow
39	4	30	172	188	-1	//Poison Shadow
39	4	30	173	171	-1	//Poison Shadow
39	4	30	206	200	-1	//Poison Shadow
39	4	30	218	229	-1	//Poison Shadow
39	4	30	195	32	-1	//Poison Shadow
39	4	30	189	38	-1	//Poison Shadow
39	4	30	189	48	-1	//Poison Shadow
39	4	30	196	54	-1	//Poison Shadow
39	4	30	203	50	-1	//Poison Shadow
39	4	30	236	127	-1	//Poison Shadow
39	4	30	196	207	-1	//Poison Shadow
39	4	30	195	200	-1	//Poison Shadow
39	4	30	230	229	-1	//Poison Shadow
39	4	30	173	227	-1	//Poison Shadow
39	4	30	183	233	-1	//Poison Shadow
39	4	30	173	237	-1	//Poison Shadow
34	4	30	167	197	-1	//Cursed Wizard
34	4	30	192	203	-1	//Cursed Wizard
34	4	30	191	244	-1	//Cursed Wizard
34	4	30	235	237	-1	//Cursed Wizard
34	4	30	224	235	-1	//Cursed Wizard
34	4	30	206	237	-1	//Cursed Wizard
34	4	30	200	228	-1	//Cursed Wizard
34	4	30	209	212	-1	//Cursed Wizard
34	4	30	225	196	-1	//Cursed Wizard
34	4	30	209	190	-1	//Cursed Wizard
34	4	30	198	192	-1	//Cursed Wizard
34	4	30	187	184	-1	//Cursed Wizard
34	4	30	193	173	-1	//Cursed Wizard
34	4	30	172	177	-1	//Cursed Wizard
34	4	30	133	185	-1	//Cursed Wizard
34	4	30	132	201	-1	//Cursed Wizard
34	4	30	134	166	-1	//Cursed Wizard
34	4	30	95	173	-1	//Cursed Wizard
34	4	30	86	190	-1	//Cursed Wizard
34	4	30	84	237	-1	//Cursed Wizard
34	4	30	98	245	-1	//Cursed Wizard
34	4	30	111	219	-1	//Cursed Wizard
34	4	30	123	224	-1	//Cursed Wizard
34	4	30	123	201	-1	//Cursed Wizard
34	4	30	115	167	-1	//Cursed Wizard
34	4	30	105	175	-1	//Cursed Wizard
34	4	30	215	174	-1	//Cursed Wizard
34	4	30	245	168	-1	//Cursed Wizard
34	4	30	235	214	-1	//Cursed Wizard
34	4	30	165	223	-1	//Cursed Wizard
34	4	30	127	239	-1	//Cursed Wizard
34	4	30	125	180	-1	//Cursed Wizard
34	4	30	113	189	-1	//Cursed Wizard
34	4	30	98	231	-1	//Cursed Wizard
34	4	30	112	235	-1	//Cursed Wizard
34	4	30	83	220	-1	//Cursed Wizard
34	4	30	90	239	-1	//Cursed Wizard
34	4	30	133	215	-1	//Cursed Wizard
34	4	30	88	206	-1	//Cursed Wizard
34	4	30	121	235	-1	//Cursed Wizard
34	4	30	104	232	-1	//Cursed Wizard
34	4	30	102	217	-1	//Cursed Wizard
34	4	30	103	205	-1	//Cursed Wizard
34	4	30	101	188	-1	//Cursed Wizard
34	4	30	110	206	-1	//Cursed Wizard
34	4	30	96	167	-1	//Cursed Wizard
34	4	30	238	213	-1	//Cursed Wizard
34	4	30	210	225	-1	//Cursed Wizard
34	4	30	215	236	-1	//Cursed Wizard
41	4	30	126	246	-1	//Death Cow
41	4	30	133	235	-1	//Death Cow
41	4	30	133	225	-1	//Death Cow
41	4	30	133	209	-1	//Death Cow
41	4	30	125	189	-1	//Death Cow
41	4	30	128	175	-1	//Death Cow
41	4	30	129	167	-1	//Death Cow
41	4	30	97	184	-1	//Death Cow
41	4	30	107	168	-1	//Death Cow
41	4	30	89	174	-1	//Death Cow
41	4	30	83	183	-1	//Death Cow
41	4	30	83	201	-1	//Death Cow
41	4	30	83	213	-1	//Death Cow
41	4	30	89	224	-1	//Death Cow
41	4	30	86	245	-1	//Death Cow
41	4	30	108	245	-1	//Death Cow
41	4	30	116	211	-1	//Death Cow
41	4	30	111	194	-1	//Death Cow
41	4	30	115	178	-1	//Death Cow
